City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Faya,SA,18.3851,42.4509,50.52,58,1,2.66,clear sky,2022-11-17 00:14:46
1,Kieta,PG,-6.2167,155.6333,85.24,61,100,4.12,overcast clouds,2022-11-17 00:14:46
2,Constantine,DZ,36.365,6.6147,60.21,77,75,5.75,broken clouds,2022-11-17 00:14:47
3,Ushuaia,AR,-54.8,-68.3,49.66,62,75,2.3,broken clouds,2022-11-17 00:13:40
4,Hasaki,JP,35.7333,140.8333,54.28,61,43,17.69,scattered clouds,2022-11-17 00:14:47
5,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,9.22,clear sky,2022-11-17 00:10:47
6,Atuona,PF,-9.8,-139.0333,78.1,76,3,14.74,clear sky,2022-11-17 00:14:48
7,Saskylakh,RU,71.9167,114.0833,-26.55,98,99,4.74,overcast clouds,2022-11-17 00:14:48
8,Kingman,US,35.1894,-114.053,54.12,18,0,17.27,clear sky,2022-11-17 00:14:42
9,Rikitea,PF,-23.1203,-134.9692,72.95,90,100,26.06,heavy intensity rain,2022-11-17 00:10:39
10,Clyde River,CA,70.4692,-68.5914,3.43,85,100,24.16,light snow,2022-11-17 00:14:48
11,Saint-Leu,RE,-21.15,55.2833,70.63,66,9,3.06,clear sky,2022-11-17 00:14:49
12,Mayo,US,38.8876,-76.5119,45.99,65,40,12.66,scattered clouds,2022-11-17 00:14:49
13,Lebu,CL,-37.6167,-73.65,57.99,92,5,8.63,clear sky,2022-11-17 00:14:50
14,Thompson,CA,55.7435,-97.8558,17.76,86,100,10.36,light snow,2022-11-17 00:14:50
15,Lompoc,US,34.6391,-120.4579,71.74,30,0,3.0,clear sky,2022-11-17 00:13:35
16,Mar Del Plata,AR,-38.0023,-57.5575,67.95,76,69,7.36,broken clouds,2022-11-17 00:14:50
17,Nikolskoye,RU,59.7035,30.7861,31.91,85,100,6.73,overcast clouds,2022-11-17 00:14:51
18,Bluff,NZ,-46.6,168.3333,58.8,85,99,11.41,overcast clouds,2022-11-17 00:12:09
19,Chuy,UY,-33.6971,-53.4616,61.72,79,1,6.29,clear sky,2022-11-17 00:14:51
20,Hermanus,ZA,-34.4187,19.2345,52.81,71,94,4.74,overcast clouds,2022-11-17 00:14:52
21,Hilo,US,19.7297,-155.09,82.26,85,100,5.75,haze,2022-11-17 00:10:35
22,Leh,IN,34.1667,77.5833,17.62,88,95,1.07,overcast clouds,2022-11-17 00:14:52
23,Butaritari,KI,3.0707,172.7902,81.01,74,69,18.75,broken clouds,2022-11-17 00:14:53
24,Menongue,AO,-14.6585,17.691,63.0,89,29,4.59,scattered clouds,2022-11-17 00:14:53
25,Auki,SB,-8.7676,160.7034,83.46,75,96,1.99,overcast clouds,2022-11-17 00:14:53
26,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds,2022-11-17 00:14:53
27,Murgab,TM,37.4966,61.9714,49.06,56,70,16.49,broken clouds,2022-11-17 00:14:54
28,Burnie,AU,-41.0667,145.9167,58.95,52,8,5.59,clear sky,2022-11-17 00:14:29
29,Bandar-E Lengeh,IR,26.5579,54.8807,78.67,67,4,6.98,clear sky,2022-11-17 00:14:54
30,San Patricio,US,28.017,-97.5169,51.67,61,100,8.34,overcast clouds,2022-11-17 00:14:55
31,Tabuk,PH,17.4189,121.4443,76.39,79,17,1.81,few clouds,2022-11-17 00:14:55
32,Busselton,AU,-33.65,115.3333,59.18,76,41,16.64,scattered clouds,2022-11-17 00:10:41
33,Bethel,US,41.3712,-73.414,44.47,72,40,9.22,scattered clouds,2022-11-17 00:12:06
34,Hobart,AU,-42.8794,147.3294,57.25,71,75,10.36,broken clouds,2022-11-17 00:11:32
35,Kautokeino,NO,69.0125,23.0412,8.44,63,50,2.3,scattered clouds,2022-11-17 00:14:55
36,Grindavik,IS,63.8424,-22.4338,45.07,87,75,23.02,light rain,2022-11-17 00:14:56
37,Mataura,NZ,-46.1927,168.8643,58.48,86,100,2.3,overcast clouds,2022-11-17 00:10:51
38,Souillac,MU,-20.5167,57.5167,69.17,69,0,5.26,clear sky,2022-11-17 00:14:56
39,San Ignacio,BZ,17.1561,-89.0714,73.29,98,96,2.91,light rain,2022-11-17 00:14:56
40,Albany,US,42.6001,-73.9662,38.37,89,87,9.44,overcast clouds,2022-11-17 00:10:18
41,Makakilo City,US,21.3469,-158.0858,82.72,55,75,17.27,broken clouds,2022-11-17 00:14:57
42,Coihaique,CL,-45.5752,-72.0662,56.01,71,0,2.3,clear sky,2022-11-17 00:14:57
43,Santander,ES,43.4647,-3.8044,61.47,88,40,2.3,scattered clouds,2022-11-17 00:12:36
44,Ponta Do Sol,PT,32.6667,-17.1,70.72,85,76,7.96,broken clouds,2022-11-17 00:10:50
45,Port Alfred,ZA,-33.5906,26.891,62.19,94,60,4.76,broken clouds,2022-11-17 00:14:57
46,Vanimo,PG,-2.6741,141.3028,84.65,71,76,4.94,broken clouds,2022-11-17 00:14:58
47,Vaini,TO,-21.2,-175.2,77.05,67,0,0.6,clear sky,2022-11-17 00:10:37
48,Georgetown,MY,5.4112,100.3354,81.23,89,20,0.0,few clouds,2022-11-17 00:14:58
49,Jamestown,US,42.097,-79.2353,34.02,71,100,16.11,overcast clouds,2022-11-17 00:14:59
50,Broome,US,42.2506,-75.833,36.68,80,100,11.5,overcast clouds,2022-11-17 00:14:59
51,Takhatgarh,IN,25.3333,73.0,63.63,34,0,3.27,clear sky,2022-11-17 00:15:00
52,Carballo,ES,43.213,-8.691,60.49,87,97,9.42,overcast clouds,2022-11-17 00:15:00
53,Bredasdorp,ZA,-34.5322,20.0403,57.06,69,100,3.11,overcast clouds,2022-11-17 00:15:00
54,Qaanaaq,GL,77.484,-69.3632,-3.42,95,100,3.91,overcast clouds,2022-11-17 00:15:01
55,Terrace,CA,54.5163,-128.6035,39.34,87,85,4.47,overcast clouds,2022-11-17 00:12:49
56,New Norfolk,AU,-42.7826,147.0587,56.91,58,97,1.01,overcast clouds,2022-11-17 00:10:29
57,Victoria,HK,22.2855,114.1577,77.38,84,87,10.0,overcast clouds,2022-11-17 00:10:52
58,Nelson Bay,AU,-32.7167,152.15,66.25,66,28,15.99,scattered clouds,2022-11-17 00:15:01
59,Kruisfontein,ZA,-34.0033,24.7314,57.29,68,77,6.35,broken clouds,2022-11-17 00:15:02
60,Alofi,NU,-19.0595,-169.9187,78.69,77,59,9.1,broken clouds,2022-11-17 00:15:02
61,Macultepec,MX,18.1667,-92.8333,77.13,87,75,14.97,light rain,2022-11-17 00:15:03
62,Amos,CA,48.5669,-78.1162,21.11,91,100,6.35,light snow,2022-11-17 00:15:04
63,Torbay,CA,47.6666,-52.7314,33.58,79,71,1.99,broken clouds,2022-11-17 00:15:04
64,Coquimbo,CL,-29.9533,-71.3436,58.73,94,0,6.91,clear sky,2022-11-17 00:14:44
65,Puerto Ayora,EC,-0.7393,-90.3518,69.55,87,87,5.01,overcast clouds,2022-11-17 00:15:05
66,Karpathos,GR,35.507,27.2132,64.36,77,0,9.22,clear sky,2022-11-17 00:15:05
67,Padang,ID,-0.9492,100.3543,73.45,97,100,4.25,moderate rain,2022-11-17 00:15:06
68,Riohacha,CO,11.5444,-72.9072,80.49,82,100,11.43,overcast clouds,2022-11-17 00:15:06
69,Yellowknife,CA,62.456,-114.3525,0.12,92,75,4.61,light snow,2022-11-17 00:15:07
70,La Ronge,CA,55.1001,-105.2842,16.02,79,100,18.41,light snow,2022-11-17 00:15:07
71,San Joaquin,US,37.9333,-121.3011,66.49,39,0,0.0,clear sky,2022-11-17 00:15:07
72,Rapid Valley,US,44.0625,-103.1463,34.77,65,40,12.66,scattered clouds,2022-11-17 00:15:08
73,Luderitz,NA,-26.6481,15.1594,60.26,81,11,11.83,few clouds,2022-11-17 00:15:08
