City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kieta,PG,85.24,overcast clouds,-6.2167,155.6333,Kieta
6,Atuona,PF,78.1,clear sky,-9.8,-139.0333,Atuona
9,Rikitea,PF,72.95,heavy intensity rain,-23.1203,-134.9692,Rikitea
11,Saint-Leu,RE,70.63,clear sky,-21.15,55.2833,Saint-Paul
15,Lompoc,US,71.74,clear sky,34.6391,-120.4579,Lompoc
21,Hilo,US,82.26,haze,19.7297,-155.09,Hilo
23,Butaritari,KI,81.01,broken clouds,3.0707,172.7902,Ukiangang
25,Auki,SB,83.46,overcast clouds,-8.7676,160.7034,Auki
26,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Wilson Hill
29,Bandar-E Lengeh,IR,78.67,clear sky,26.5579,54.8807,Bandar-e Lengeh
31,Tabuk,PH,76.39,few clouds,17.4189,121.4443,Tabuk
39,San Ignacio,BZ,73.29,light rain,17.1561,-89.0714,San Ignacio
41,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Kapolei
44,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Ribeira Brava
46,Vanimo,PG,84.65,broken clouds,-2.6741,141.3028,Vanimo
47,Vaini,TO,77.05,clear sky,-21.2,-175.2,Nukuhetulu
48,Georgetown,MY,81.23,few clouds,5.4112,100.3354,George Town
57,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Hong Kong
60,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Alofi
61,Macultepec,MX,77.13,light rain,18.1667,-92.8333,Ocuiltzapotlán
67,Padang,ID,73.45,moderate rain,-0.9492,100.3543,Padang
68,Riohacha,CO,80.49,overcast clouds,11.5444,-72.9072,Riohacha
77,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,Acapulco
78,Orange,US,74.86,clear sky,33.7,-117.7675,Irvine
80,Kilindoni,TZ,78.87,few clouds,-7.9139,39.6668,Kilindoni
87,Bengkulu,ID,74.28,light rain,-3.8004,102.2655,Bengkulu
88,Gushikawa,JP,76.59,broken clouds,26.3544,127.8686,Uruma
90,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Avarua District
91,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Kapaʻa
92,Alta Floresta,BR,72.01,overcast clouds,-9.8756,-56.0861,Alta Floresta
96,Naliya,IN,75.02,clear sky,23.2667,68.8333,Naliya
101,Bintulu,MY,77.79,overcast clouds,3.1667,113.0333,Bintulu
105,Pochutla,MX,82.22,overcast clouds,15.7432,-96.4661,Pochutla District
106,Isangel,VU,82.89,overcast clouds,-19.55,169.2667,Isangel
109,Richards Bay,ZA,70.84,broken clouds,-28.783,32.0377,Richards Bay
110,Sao Joao Da Barra,BR,71.11,light rain,-21.6403,-41.0511,Grussaí
112,Bandarbeyla,SO,78.01,few clouds,9.4942,50.8122,Bandarbeyla
114,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Bodden Town
115,Nioro,GM,77.43,broken clouds,13.35,-15.75,Nioro
121,Kavieng,PG,84.4,overcast clouds,-2.5744,150.7967,Kavieng
125,Hithadhoo,MV,80.71,broken clouds,-0.6,73.0833,Addu City
129,Mogadishu,SO,78.49,few clouds,2.0371,45.3438,Mogadishu
130,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Vila Velha
131,Arraial Do Cabo,BR,72.3,overcast clouds,-22.9661,-42.0278,Cabo Frio
132,Waingapu,ID,82.36,overcast clouds,-9.6567,120.2641,Waingapu
133,Cockburn Town,TC,82.09,clear sky,21.4612,-71.1419,Cockburn Town
134,Boueni,YT,75.18,broken clouds,-12.9025,45.0761,Boueni
135,Djenne,ML,75.29,broken clouds,13.9061,-4.5533,Djenne
137,Mana,GF,78.22,overcast clouds,5.6592,-53.7767,Mana
139,Sabya,SA,80.76,clear sky,17.1495,42.6254,Sabya
146,Novo Aripuana,BR,79.9,overcast clouds,-5.1206,-60.3797,Novo Aripuanã
152,Atambua,ID,80.91,overcast clouds,-9.1061,124.8925,Atambua
154,Buala,SB,84.92,light rain,-8.145,159.5921,Buala
161,Santa Cruz De La Palma,ES,74.14,clear sky,28.6835,-17.7642,Santa Cruz de La Palma
169,Port Blair,IN,75.24,mist,11.6667,92.75,Port Blair
170,Faanui,PF,79.41,overcast clouds,-16.4833,-151.75,Vaitape
173,Sao Filipe,CV,77.45,broken clouds,14.8961,-24.4956,Sao Filipe
185,Sambava,MG,71.19,scattered clouds,-14.2667,50.1667,Sambava
192,Bonthe,SL,77.05,broken clouds,7.5264,-12.505,Bonthe
193,Puerto Carreno,CO,79.97,overcast clouds,6.189,-67.4859,Puerto Carreño
195,Poum,NC,79.54,overcast clouds,-20.2333,164.0167,Poum
196,Vila Do Maio,CV,77.79,broken clouds,15.1333,-23.2167,Vila do Maio
197,Meulaboh,ID,75.7,light rain,4.1363,96.1285,Meulaboh
199,Dingle,PH,79.72,overcast clouds,10.9995,122.6711,Pototan
200,Morros,BR,72.55,light rain,-9.4467,-46.3003,Morros
201,Tumaco,CO,76.84,overcast clouds,1.7986,-78.8156,Tumaco
206,Martapura,ID,80.69,overcast clouds,-3.4167,114.85,Martapura
210,Bundaberg,AU,75.22,scattered clouds,-24.85,152.35,Bundaberg
213,Sinnamary,GF,78.66,overcast clouds,5.3833,-52.95,Sinnamary
216,Altamira,BR,80.56,overcast clouds,-3.2033,-52.2064,Altamira
218,Isla Vista,US,71.35,clear sky,34.4133,-119.861,Santa Barbara
222,Belmonte,BR,76.35,light rain,-15.8631,-38.8828,Belmonte
225,Progreso,MX,78.91,light rain,21.2833,-89.6667,Progreso
226,Kavaratti,IN,81.52,scattered clouds,10.5669,72.642,Kavaratti
227,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Klouklubed
228,Samarai,PG,85.86,overcast clouds,-10.6167,150.6667,Magesina
231,Mareeba,AU,90.45,clear sky,-17.0,145.4333,Mareeba
238,Tomatlan,MX,78.4,clear sky,19.9333,-105.25,Tomatlán
239,Salalah,OM,73.49,clear sky,17.0151,54.0924,Salalah
245,Lorengau,PG,84.65,overcast clouds,-2.0226,147.2712,Lorengau
246,Tautira,PF,77.94,overcast clouds,-17.7333,-149.15,Tautira
249,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,San Cristobal
256,Hervey Bay,AU,77.02,scattered clouds,-25.2986,152.8535,Hervey Bay
259,Lodwar,KE,81.07,scattered clouds,3.1191,35.5973,Lodwar
267,Atar,MR,77.04,scattered clouds,20.5169,-13.0499,Atar
269,Pangkalanbuun,ID,78.57,overcast clouds,-2.6833,111.6167,Pangkalan Bun
270,Garowe,SO,71.69,few clouds,8.4054,48.4845,Garowe
273,Tecoanapa,MX,80.91,scattered clouds,16.5167,-98.75,Barra de Tecoanapa
278,Tambacounda,SN,80.65,clear sky,13.7539,-13.7586,Sitokoto
280,Soyo,AO,76.37,overcast clouds,-6.1349,12.3689,Soyo
282,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Puerto Escondido
286,Curico,CL,80.71,overcast clouds,-34.9833,-71.2333,Curico
289,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Cabo San Lucas
290,Hambantota,LK,76.82,broken clouds,6.1241,81.1185,Hambantota
299,Porto Novo,BJ,77.9,light rain,6.4965,2.6036,Porto-Novo
303,Manzanillo,CU,78.15,broken clouds,20.3433,-77.1167,Manzanillo
306,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Cabedelo
307,Sur,OM,75.34,few clouds,22.5667,59.5289,Sur
309,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Saint George's
314,Kulhudhuffushi,MV,81.01,scattered clouds,6.6221,73.07,Kulhudhuffushi
315,Los Llanos De Aridane,ES,70.12,clear sky,28.6585,-17.9182,Los Llanos
318,Bara,NG,72.46,overcast clouds,10.3744,10.7288,Bara
320,San Policarpo,PH,81.25,broken clouds,12.1791,125.5072,Oras
323,San Juan,AR,89.4,clear sky,-31.5375,-68.5364,San Juan
325,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Santa Cruz de la Sierra
